Tanggal;Jenis Pintu Masuk;Provinsi Pintu Masuk;Nama Pintu Masuk;Benua;Kebangsaan;Jumlah Wisatawan Mancanegara
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Oseania;Australia;542
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Oseania;Selandia Baru;42
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Oseania;Papua Nugini;0
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Oseania;Oseania Lainnya;0
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Afrika;Afrika Selatan;23
31/01/2020;Pintu Udara;Sumatera Utara;Bandara Kualanamu;Afrika;Afrika Lainnya;45
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Malaysia;8535
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Filipina;61
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Singapura;1815
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Thailand;47
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Vietnam;44
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Hong Kong;0
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;India;155
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Jepang;156
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Korea Selatan;158
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Taiwan;29
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Tiongkok;144
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Timor Leste;0
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Arab Saudi;20
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Kuwait;0
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Mesir;3
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Uni Emirat Arab;0
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Yaman;7
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Asia;Asia Lainnya;1067
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Eropa;Prancis;48
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Eropa;Jerman;46
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Eropa;Belanda;36
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Eropa;Inggris;58
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Eropa;Rusia;1
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Eropa;Eropa Lainnya;83
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Amerika;Amerika Serikat;99
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Amerika;Kanada;41
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Amerika;Brasil;7
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Amerika;Meksiko;0
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Amerika;Amerika Lainnya;5
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Oseania;Australia;186
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Oseania;Selandia Baru;21
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Oseania;Papua Nugini;0
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Oseania;Oseania Lainnya;0
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Afrika;Afrika Selatan;4
31/01/2020;Pintu Udara;Jawa Barat;Bandara Husein Sastranegara;Afrika;Afrika Lainnya;6
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Malaysia;3698
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Filipina;34
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Singapura;1105
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Thailand;136
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Vietnam;64
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Hong Kong;0
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;India;183
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Jepang;236
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Korea Selatan;113
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Taiwan;44
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Tiongkok;414
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Timor Leste;3
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Arab Saudi;1
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Kuwait;0
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Mesir;3
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Uni Emirat Arab;0
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Yaman;0
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Asia;Asia Lainnya;853
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Eropa;Prancis;149
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Eropa;Jerman;133
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Eropa;Belanda;93
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Eropa;Inggris;153
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Eropa;Rusia;41
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Eropa;Eropa Lainnya;336
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Amerika;Amerika Serikat;240
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Amerika;Kanada;63
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Amerika;Brasil;10
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Amerika;Meksiko;18
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Amerika;Amerika Lainnya;27
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Oseania;Australia;209
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Oseania;Selandia Baru;13
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Oseania;Papua Nugini;0
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Oseania;Oseania Lainnya;1
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Afrika;Afrika Selatan;3
31/01/2020;Pintu Udara;Daerah Istimewa Yogyakarta;Bandara Internasional Yogyakarta;Afrika;Afrika Lainnya;10
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Malaysia;950
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Filipina;9
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Singapura;247
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Thailand;8
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Vietnam;15
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Hong Kong;0
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;India;69
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Jepang;93
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Korea Selatan;98
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Taiwan;16
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Tiongkok;900
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Timor Leste;0
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Arab Saudi;3
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Kuwait;0
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Mesir;1
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Uni Emirat Arab;0
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Yaman;0
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Asia;Asia Lainnya;174
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Eropa;Prancis;141
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Eropa;Jerman;180
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Eropa;Belanda;72
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Eropa;Inggris;254
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Eropa;Rusia;101
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Eropa;Eropa Lainnya;341
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Amerika;Amerika Serikat;144
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Amerika;Kanada;68
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Amerika;Brasil;10
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Amerika;Meksiko;2
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Amerika;Amerika Lainnya;24
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Oseania;Australia;2243
31/01/2020;Pintu Udara;Nusa Tenggara Barat;Bandara Internasional Lombok;Oseania;Selandia Baru;109
